route_id,from_city,to_city,transfers,departure_time,duration
1,Katowice,Gdañsk G³ówny,0,-65831053.0,5:25
1,Katowice,Gdañsk G³ówny,0,-65830863.0,5:15
1,Katowice,Sopot,0,-65831053.0,5:40
1,Katowice,Sopot,0,-65830863.0,5:30
1,Katowice,Pruszcz Gdañski,0,-65831622.0,7:11
1,Katowice,Pruszcz Gdañski,0,-65831148.0,7:15
